id,prediction,Classification
k141_1082520_11,0.58,non-AMP
k141_1082520_12,0.68,non-AMP
k141_1082520_13,0.38,non-AMP
k141_1651113_1,0.35,non-AMP
k141_1651113_2,0.62,non-AMP
k141_1651113_3,0.25,non-AMP
k141_1651113_4,0.61,non-AMP
k141_1651113_5,0.11,non-AMP
k141_5859091_1,0.44,non-AMP
k141_5859091_2,0.39,non-AMP
k141_5859091_3,0.34,non-AMP
k141_5859091_4,0.42,non-AMP
k141_5859091_5,0.38,non-AMP
k141_5859091_6,0.37,non-AMP
k141_5859091_7,0.7,non-AMP
k141_5859091_8,0.33,non-AMP
k141_685272_1,0.42,non-AMP
k141_685272_2,0.64,non-AMP
k141_685272_3,0.46,non-AMP
k141_685272_4,0.42,non-AMP
k141_685272_5,0.47,non-AMP
k141_685272_6,0.37,non-AMP
k141_685272_7,0.12,non-AMP
k141_685272_8,0.63,non-AMP
k141_685272_9,0.45,non-AMP
k141_685272_10,0.56,non-AMP
k141_685272_11,0.34,non-AMP
k141_685272_12,0.5,non-AMP
k141_685272_13,0.56,non-AMP
k141_685272_14,0.5,non-AMP
k141_685272_15,0.43,non-AMP
k141_685272_16,0.4,non-AMP
k141_4437739_1,0.22,non-AMP
k141_4437739_2,0.3,non-AMP
k141_4437739_3,0.75,AMP
k141_4437739_4,0.13,non-AMP
k141_4437739_5,0.41,non-AMP
k141_4437739_6,0.64,non-AMP
k141_4437739_7,0.46,non-AMP
k141_4437739_8,0.49,non-AMP
k141_6371245_1,0.64,non-AMP
k141_6371245_2,0.58,non-AMP
k141_6371245_3,0.71,non-AMP
k141_6371245_4,0.65,non-AMP
k141_6371245_5,0.54,non-AMP
k141_6371245_6,0.63,non-AMP
k141_6371245_7,0.37,non-AMP
k141_6371245_8,0.4,non-AMP
k141_6371245_9,0.4,non-AMP
k141_6371245_10,0.8,AMP
k141_6371245_11,0.6,non-AMP
k141_6371245_12,0.23,non-AMP
k141_6371245_13,0.62,non-AMP
k141_6371245_14,0.31,non-AMP
k141_6371245_15,0.6,non-AMP
k141_6371245_16,0.4,non-AMP
k141_6371245_17,0.4,non-AMP
k141_6371245_18,0.55,non-AMP
k141_6371245_19,0.74,non-AMP
k141_6371245_20,0.52,non-AMP
k141_6371245_21,0.58,non-AMP
k141_6371245_22,0.65,non-AMP
k141_6371245_23,0.58,non-AMP
k141_6371245_24,0.1,non-AMP
k141_6371245_25,0.72,non-AMP
k141_6371245_26,0.31,non-AMP
k141_6371245_27,0.56,non-AMP
k141_6371245_28,0.45,non-AMP
k141_6371245_29,0.41,non-AMP
k141_6371245_30,0.1,non-AMP
k141_6371245_31,0.27,non-AMP
k141_1368048_1,0.37,non-AMP
k141_1368048_2,0.55,non-AMP
k141_1368048_3,0.09,non-AMP
k141_1368048_4,0.68,non-AMP
k141_1368048_5,0.43,non-AMP
k141_1368048_6,0.18,non-AMP
k141_1368048_7,0.27,non-AMP
k141_1368048_8,0.42,non-AMP
k141_1368048_9,0.47,non-AMP
k141_1368048_10,0.17,non-AMP
k141_1368048_11,0.73,non-AMP
k141_1368048_12,0.38,non-AMP
k141_1368048_13,0.64,non-AMP
k141_1368048_14,0.53,non-AMP
k141_3187863_1,0.52,non-AMP
k141_3187863_2,0.57,non-AMP
k141_3187863_3,0.13,non-AMP
k141_3187863_4,0.14,non-AMP
k141_3187863_5,0.08,non-AMP
k141_3187863_6,0.05,non-AMP
k141_3187863_7,0.11,non-AMP
k141_3187863_8,0.22,non-AMP
k141_3187863_9,0.12,non-AMP
k141_6485333_1,0.54,non-AMP
k141_6485333_2,0.16,non-AMP
k141_6485333_3,0.1,non-AMP
k141_6485333_4,0.3,non-AMP
k141_6485333_5,0.58,non-AMP
k141_6485333_6,0.76,AMP
k141_6485333_7,0.31,non-AMP
k141_4837500_1,0.52,non-AMP
k141_4837500_2,0.46,non-AMP
k141_4837500_3,0.45,non-AMP
k141_4837500_4,0.35,non-AMP
k141_4837500_5,0.37,non-AMP
k141_4837500_6,0.52,non-AMP
k141_4837500_7,0.46,non-AMP
k141_4837500_8,0.36,non-AMP
k141_4837500_9,0.71,non-AMP
k141_4837500_10,0.66,non-AMP
k141_4837500_11,0.5,non-AMP
k141_4837500_12,0.23,non-AMP
k141_4837500_13,0.48,non-AMP
k141_4837500_14,0.68,non-AMP
k141_4837500_15,0.74,non-AMP
k141_4837500_16,0.26,non-AMP
k141_4837500_17,0.61,non-AMP
k141_4837500_18,0.38,non-AMP
k141_6430104_1,0.52,non-AMP
k141_6430104_2,0.67,non-AMP
k141_6430104_3,0.17,non-AMP
k141_6430104_4,0.73,non-AMP
k141_6430104_5,0.65,non-AMP
k141_3815560_1,0.1,non-AMP
k141_3815560_2,0.29,non-AMP
k141_3815560_3,0.49,non-AMP
k141_3815560_4,0.05,non-AMP
k141_1654973_1,0.38,non-AMP
k141_1654973_2,0.39,non-AMP
k141_1654973_3,0.54,non-AMP
k141_1654973_4,0.07,non-AMP
k141_1654973_5,0.37,non-AMP
k141_1654973_6,0.35,non-AMP
k141_4327282_1,0.39,non-AMP
k141_4327282_2,0.23,non-AMP
k141_4327282_3,0.24,non-AMP
k141_4327282_4,0.71,non-AMP
k141_4327282_5,0.72,non-AMP
k141_4327282_6,0.62,non-AMP
k141_4327282_7,0.66,non-AMP
k141_4327282_8,0.47,non-AMP
k141_4327282_9,0.45,non-AMP
k141_4327282_10,0.73,non-AMP
k141_4327282_11,0.65,non-AMP
k141_4327282_12,0.47,non-AMP
k141_4327282_13,0.6,non-AMP
k141_4327282_14,0.34,non-AMP
k141_4327282_15,0.68,non-AMP
k141_4327282_16,0.42,non-AMP
k141_4327282_17,0.53,non-AMP
k141_4327282_18,0.48,non-AMP
k141_4327282_19,0.55,non-AMP
k141_4327282_20,0.36,non-AMP
k141_4327282_21,0.39,non-AMP
k141_4327282_22,0.52,non-AMP
k141_4327282_23,0.56,non-AMP
k141_3645692_1,0.34,non-AMP
k141_3645692_2,0.43,non-AMP
k141_3645692_3,0.47,non-AMP
k141_3645692_4,0.32,non-AMP
k141_3645692_5,0.38,non-AMP
k141_3645692_6,0.4,non-AMP
k141_3645692_7,0.62,non-AMP
k141_3645692_8,0.41,non-AMP
k141_3645692_9,0.76,AMP
k141_3645692_10,0.69,non-AMP
k141_3645692_11,0.77,AMP
k141_3873140_1,0.57,non-AMP
k141_3873140_2,0.48,non-AMP
k141_3873140_3,0.46,non-AMP
k141_3873140_4,0.27,non-AMP
k141_3873140_5,0.34,non-AMP
k141_3873140_6,0.23,non-AMP
k141_3873140_7,0.29,non-AMP
k141_3873140_8,0.69,non-AMP
k141_3873140_9,0.31,non-AMP
k141_3873140_10,0.59,non-AMP
k141_3873140_11,0.33,non-AMP
k141_3873140_12,0.35,non-AMP
k141_4157418_1,0.57,non-AMP
k141_4157418_2,0.72,non-AMP
k141_4157418_3,0.69,non-AMP
k141_4157418_4,0.5,non-AMP
k141_4157418_5,0.08,non-AMP
k141_4157418_6,0.54,non-AMP
k141_4157418_7,0.31,non-AMP
k141_4157418_8,0.22,non-AMP
k141_4157418_9,0.24,non-AMP
k141_4157418_10,0.49,non-AMP
k141_348646_1,0.53,non-AMP
k141_348646_2,0.33,non-AMP
k141_5693069_1,0.4,non-AMP
k141_5693069_2,0.09,non-AMP
k141_5693069_3,0.47,non-AMP
k141_5693069_4,0.52,non-AMP
k141_5693069_5,0.69,non-AMP
k141_5693069_6,0.46,non-AMP
k141_5693069_7,0.46,non-AMP
k141_5693069_8,0.26,non-AMP
k141_5693069_9,0.64,non-AMP
k141_5693069_10,0.56,non-AMP
k141_5693069_11,0.09,non-AMP
k141_5693069_12,0.61,non-AMP
k141_5693069_13,0.65,non-AMP
k141_5693069_14,0.32,non-AMP
k141_5693069_15,0.38,non-AMP
k141_5693069_16,0.53,non-AMP
k141_5693069_17,0.08,non-AMP
k141_5693069_18,0.39,non-AMP
k141_5693069_19,0.47,non-AMP
k141_5124368_1,0.59,non-AMP
k141_5124368_2,0.3,non-AMP
k141_5124368_3,0.51,non-AMP
k141_5124368_4,0.44,non-AMP
k141_3078544_1,0.51,non-AMP
k141_3078544_2,0.49,non-AMP
k141_3078544_3,0.17,non-AMP
k141_3078544_4,0.48,non-AMP
k141_3078544_5,0.35,non-AMP
k141_3078544_6,0.37,non-AMP
k141_3078544_7,0.41,non-AMP
k141_3078544_8,0.4,non-AMP
k141_3078544_9,0.17,non-AMP
k141_3078544_10,0.62,non-AMP
k141_5693805_1,0.03,non-AMP
k141_5693805_2,0.2,non-AMP
k141_5693805_3,0.31,non-AMP
k141_5693805_4,0.28,non-AMP
k141_5693805_5,0.09,non-AMP
k141_5693805_6,0.07,non-AMP
k141_5693805_7,0.58,non-AMP
k141_5693805_8,0.62,non-AMP
k141_5693805_9,0.12,non-AMP
k141_5693805_10,0.56,non-AMP
k141_5693805_11,0.34,non-AMP
k141_5693805_12,0.42,non-AMP
k141_4102202_1,0.61,non-AMP
k141_4102202_2,0.15,non-AMP
k141_4102202_3,0.44,non-AMP
k141_4102202_4,0.22,non-AMP
k141_4102202_5,0.28,non-AMP
k141_4102202_6,0.33,non-AMP
k141_4102202_7,0.22,non-AMP
k141_5523803_1,0.38,non-AMP
k141_5523803_2,0.24,non-AMP
k141_5523803_3,0.58,non-AMP
k141_5523803_4,0.11,non-AMP
k141_5523803_5,0.52,non-AMP
k141_6546910_1,0.76,AMP
k141_6546910_2,0.36,non-AMP
k141_6546910_3,0.73,non-AMP
k141_6546910_4,0.64,non-AMP
k141_6546910_5,0.7,non-AMP
k141_6546910_6,0.69,non-AMP
k141_6546910_7,0.26,non-AMP
k141_6546910_8,0.06,non-AMP
k141_6546910_9,0.29,non-AMP
k141_6546910_10,0.41,non-AMP
k141_6546910_11,0.27,non-AMP
k141_976010_1,0.57,non-AMP
k141_976010_2,0.27,non-AMP
k141_976010_3,0.14,non-AMP
k141_976010_4,0.28,non-AMP
k141_6662118_1,0.31,non-AMP
k141_6662118_2,0.42,non-AMP
k141_6662118_3,0.13,non-AMP
k141_6662118_4,0.16,non-AMP
k141_6662118_5,0.53,non-AMP
k141_6662118_6,0.14,non-AMP
k141_6662118_7,0.35,non-AMP
k141_6662118_8,0.67,non-AMP
k141_6662118_9,0.57,non-AMP
k141_6662118_10,0.53,non-AMP
k141_6662118_11,0.56,non-AMP
k141_2397515_1,0.68,non-AMP
k141_2397515_2,0.65,non-AMP
k141_2397515_3,0.54,non-AMP
k141_2397515_4,0.33,non-AMP
k141_2397515_5,0.57,non-AMP
k141_2397515_6,0.69,non-AMP
k141_2397515_7,0.62,non-AMP
k141_2397515_8,0.76,AMP
k141_2397515_9,0.09,non-AMP
k141_7116070_1,0.55,non-AMP
k141_7116070_2,0.07,non-AMP
k141_7116070_3,0.16,non-AMP
k141_7116070_4,0.39,non-AMP
k141_7116070_5,0.62,non-AMP
k141_3250419_1,0.75,AMP
k141_3250419_2,0.63,non-AMP
k141_3250419_3,0.75,AMP
k141_3250419_4,0.67,non-AMP
k141_3250419_5,0.37,non-AMP
k141_3250419_6,0.63,non-AMP
k141_3250419_7,0.05,non-AMP
k141_3250419_8,0.54,non-AMP
k141_3250419_9,0.51,non-AMP
k141_3990079_1,0.44,non-AMP
k141_3990079_2,0.11,non-AMP
k141_3990079_3,0.04,non-AMP
k141_3990079_4,0.53,non-AMP
k141_3990079_5,0.77,AMP
k141_3990079_6,0.3,non-AMP
k141_3990079_7,0.43,non-AMP
k141_3990079_8,0.43,non-AMP
k141_3990079_9,0.57,non-AMP
k141_3990079_10,0.64,non-AMP
k141_3990079_11,0.7,non-AMP
k141_3990079_12,0.63,non-AMP
k141_3990079_13,0.53,non-AMP
k141_5069883_1,0.31,non-AMP
k141_5069883_2,0.29,non-AMP
k141_5069883_3,0.58,non-AMP
k141_5069883_4,0.37,non-AMP
k141_3649053_1,0.59,non-AMP
k141_3649053_2,0.49,non-AMP
k141_3649053_3,0.71,non-AMP
k141_3591899_1,0.59,non-AMP
k141_3591899_2,0.44,non-AMP
k141_3591899_3,0.71,non-AMP
k141_3591899_4,0.64,non-AMP
k141_3591899_5,0.38,non-AMP
k141_3591899_6,0.77,AMP
k141_3591899_7,0.18,non-AMP
k141_3591899_8,0.6,non-AMP
k141_3591899_9,0.5,non-AMP
k141_3478033_1,0.66,non-AMP
k141_3478033_2,0.5,non-AMP
k141_3478033_3,0.51,non-AMP
k141_3478033_4,0.1,non-AMP
k141_3478033_5,0.18,non-AMP
k141_3478033_6,0.56,non-AMP
k141_3478033_7,0.27,non-AMP
k141_3478033_8,0.4,non-AMP
k141_3478033_9,0.44,non-AMP
k141_3478033_10,0.03,non-AMP
k141_3478033_11,0.14,non-AMP
k141_3478033_12,0.31,non-AMP
k141_3478033_13,0.59,non-AMP
k141_3478033_14,0.48,non-AMP
k141_3478033_15,0.27,non-AMP
k141_3478033_16,0.45,non-AMP
k141_3478033_17,0.74,non-AMP
k141_3478033_18,0.54,non-AMP
k141_1659655_1,0.58,non-AMP
k141_1659655_2,0.61,non-AMP
k141_1659655_3,0.65,non-AMP
k141_1659655_4,0.43,non-AMP
k141_1659655_5,0.57,non-AMP
k141_1659655_6,0.35,non-AMP
k141_1659655_7,0.19,non-AMP
k141_7116950_1,0.22,non-AMP
k141_7116950_2,0.11,non-AMP
k141_7116950_3,0.47,non-AMP
k141_7116950_4,0.52,non-AMP
k141_7116950_5,0.48,non-AMP
k141_7116950_6,0.47,non-AMP
k141_7116950_7,0.5,non-AMP
k141_7116950_8,0.48,non-AMP
k141_7116950_9,0.64,non-AMP
k141_7116950_10,0.42,non-AMP
k141_7116950_11,0.65,non-AMP
k141_7116950_12,0.04,non-AMP
k141_7116950_13,0.58,non-AMP
k141_7116950_14,0.6,non-AMP
k141_7116950_15,0.42,non-AMP
k141_7116950_16,0.84,AMP
k141_7116950_17,0.58,non-AMP
k141_7116950_18,0.33,non-AMP
k141_7116950_19,0.4,non-AMP
k141_7116950_20,0.42,non-AMP
k141_7116950_21,0.03,non-AMP
k141_7116950_22,0.61,non-AMP
k141_7116950_23,0.39,non-AMP
k141_7116950_24,0.69,non-AMP
k141_7116950_25,0.36,non-AMP
k141_7116950_26,0.37,non-AMP
k141_7116950_27,0.59,non-AMP
k141_7116950_28,0.61,non-AMP
k141_7116950_29,0.51,non-AMP
k141_7116950_30,0.68,non-AMP
k141_7116950_31,0.65,non-AMP
k141_7116950_32,0.35,non-AMP
k141_7116950_33,0.65,non-AMP
k141_7116950_34,0.54,non-AMP
k141_7116950_35,0.3,non-AMP
k141_7116950_36,0.25,non-AMP
k141_7116950_37,0.42,non-AMP
k141_7116950_38,0.28,non-AMP
k141_7116950_39,0.24,non-AMP
k141_7116950_40,0.67,non-AMP
k141_7116950_41,0.63,non-AMP
k141_7116950_42,0.1,non-AMP
k141_7116950_43,0.63,non-AMP
k141_7116950_44,0.64,non-AMP
k141_7116950_45,0.46,non-AMP
k141_7116950_46,0.77,AMP
k141_7116950_47,0.25,non-AMP
k141_7116950_48,0.7,non-AMP
k141_7116950_49,0.62,non-AMP
k141_7116950_50,0.34,non-AMP
k141_7116950_51,0.74,non-AMP
k141_7117136_1,0.28,non-AMP
k141_7117136_2,0.49,non-AMP
k141_7117136_3,0.62,non-AMP
k141_7117136_4,0.24,non-AMP
k141_7117136_5,0.03,non-AMP
k141_7117136_6,0.67,non-AMP
k141_7117136_7,0.59,non-AMP
k141_7117136_8,0.61,non-AMP
k141_7117136_9,0.07,non-AMP
k141_7117136_10,0.42,non-AMP
k141_7117136_11,0.09,non-AMP
k141_7117136_12,0.32,non-AMP
k141_4047644_1,0.66,non-AMP
k141_4047644_2,0.21,non-AMP
k141_4047644_3,0.39,non-AMP
k141_4047644_4,0.56,non-AMP
k141_4047644_5,0.64,non-AMP
k141_4047644_6,0.54,non-AMP
k141_4047644_7,0.67,non-AMP
k141_4047644_8,0.07,non-AMP
k141_4047644_9,0.28,non-AMP
k141_4047644_10,0.52,non-AMP
k141_4047644_11,0.2,non-AMP
k141_2114848_1,0.2,non-AMP
k141_2114848_2,0.4,non-AMP
k141_2114848_3,0.6,non-AMP
k141_2114848_4,0.06,non-AMP
k141_2114848_5,0.24,non-AMP
k141_2114848_6,0.28,non-AMP
k141_2114848_7,0.52,non-AMP
k141_2114848_8,0.65,non-AMP
k141_2114848_9,0.33,non-AMP
k141_2114848_10,0.66,non-AMP
k141_2114848_11,0.19,non-AMP
k141_2114848_12,0.32,non-AMP
k141_2114848_13,0.25,non-AMP
k141_2114848_14,0.07,non-AMP
k141_2114848_15,0.48,non-AMP
k141_2114848_16,0.58,non-AMP
k141_2570674_1,0.42,non-AMP
k141_2570674_2,0.61,non-AMP
k141_2570674_3,0.11,non-AMP
k141_2570674_4,0.41,non-AMP
k141_2570674_5,0.55,non-AMP
k141_2570674_6,0.37,non-AMP
k141_2570674_7,0.71,non-AMP
k141_2570674_8,0.51,non-AMP
k141_2570674_9,0.59,non-AMP
k141_2570674_10,0.59,non-AMP
k141_2570674_11,0.42,non-AMP
k141_2570674_12,0.51,non-AMP
k141_2570674_13,0.11,non-AMP
k141_6038933_1,0.06,non-AMP
k141_6038933_2,0.5,non-AMP
k141_6038933_3,0.79,AMP
k141_6038933_4,0.52,non-AMP
k141_2969487_1,0.67,non-AMP
k141_2969487_2,0.68,non-AMP
k141_2969487_3,0.57,non-AMP
k141_2003104_1,0.89,AMP
k141_2003104_2,0.44,non-AMP
k141_2003104_3,0.56,non-AMP
k141_2003104_4,0.48,non-AMP
k141_2003104_5,0.34,non-AMP
k141_2003104_6,0.75,AMP
k141_297257_1,0.75,AMP
k141_297257_2,0.34,non-AMP
k141_297257_3,0.61,non-AMP
k141_297257_4,0.62,non-AMP
k141_297257_5,0.61,non-AMP
k141_297257_6,0.16,non-AMP
k141_297257_7,0.54,non-AMP
k141_297257_8,0.29,non-AMP
k141_297257_9,0.62,non-AMP
k141_297257_10,0.64,non-AMP
k141_297257_11,0.52,non-AMP
k141_297257_12,0.68,non-AMP
k141_297257_13,0.32,non-AMP
k141_694920_1,0.04,non-AMP
k141_694920_2,0.35,non-AMP
k141_694920_3,0.43,non-AMP
k141_694920_4,0.3,non-AMP
k141_4789329_1,0.41,non-AMP
k141_4789329_2,0.39,non-AMP
k141_4789329_3,0.13,non-AMP
k141_4789329_4,0.09,non-AMP
k141_1036814_1,0.35,non-AMP
k141_1036814_2,0.4,non-AMP
k141_1036814_3,0.51,non-AMP
k141_1036814_4,0.58,non-AMP
k141_1036814_5,0.21,non-AMP
k141_1036814_6,0.59,non-AMP
k141_1036814_7,0.72,non-AMP
k141_1036814_8,0.17,non-AMP
k141_1036814_9,0.08,non-AMP
k141_1036814_10,0.23,non-AMP
k141_1036814_11,0.41,non-AMP
k141_1036814_12,0.33,non-AMP
k141_3481314_1,0.37,non-AMP
k141_3481314_2,0.31,non-AMP
k141_3481314_3,0.33,non-AMP
k141_3481314_4,0.59,non-AMP
k141_3481314_5,0.33,non-AMP
k141_3481314_6,0.12,non-AMP
k141_3481314_7,0.61,non-AMP
k141_3481314_8,0.48,non-AMP
k141_3481314_9,0.51,non-AMP
k141_3481314_10,0.61,non-AMP
k141_3481314_11,0.33,non-AMP
k141_3481314_12,0.65,non-AMP
k141_3481314_13,0.05,non-AMP
k141_3481314_14,0.35,non-AMP
k141_3481314_15,0.18,non-AMP
k141_3481314_16,0.24,non-AMP
k141_3481314_17,0.38,non-AMP
k141_3481314_18,0.6,non-AMP
k141_1663360_1,0.83,AMP
k141_1663360_2,0.39,non-AMP
k141_1663360_3,0.28,non-AMP
k141_1663360_4,0.35,non-AMP
k141_1663360_5,0.45,non-AMP
k141_3140935_1,0.73,non-AMP
k141_3140935_2,0.75,AMP
k141_3140935_3,0.36,non-AMP
k141_3140935_4,0.28,non-AMP
k141_3140935_5,0.33,non-AMP
k141_3140935_6,0.37,non-AMP
k141_3140935_7,0.33,non-AMP
k141_3140935_8,0.5,non-AMP
k141_3140935_9,0.34,non-AMP
k141_3140935_10,0.58,non-AMP
k141_3140935_11,0.22,non-AMP
k141_3140935_12,0.23,non-AMP
k141_3140935_13,0.4,non-AMP
k141_3140935_14,0.56,non-AMP
k141_3140935_15,0.58,non-AMP
k141_3140935_16,0.36,non-AMP
k141_3140935_17,0.05,non-AMP
k141_4960351_1,0.22,non-AMP
k141_4960351_2,0.16,non-AMP
k141_4960351_3,0.59,non-AMP
k141_4960351_4,0.65,non-AMP
k141_4960351_5,0.55,non-AMP
k141_4960351_6,0.58,non-AMP
k141_4960351_7,0.62,non-AMP
k141_4960351_8,0.64,non-AMP
k141_4960351_9,0.13,non-AMP
k141_5245966_1,0.48,non-AMP
k141_5245966_2,0.71,non-AMP
k141_5245966_3,0.08,non-AMP
k141_4505854_1,0.45,non-AMP
k141_4505854_2,0.3,non-AMP
k141_4505854_3,0.47,non-AMP
k141_4505854_4,0.36,non-AMP
k141_4505854_5,0.6,non-AMP
k141_4505854_6,0.47,non-AMP
k141_4505854_7,0.55,non-AMP
k141_4505854_8,0.48,non-AMP
k141_4505854_9,0.2,non-AMP
k141_4505854_10,0.12,non-AMP
k141_4505854_11,0.47,non-AMP
k141_4505854_12,0.35,non-AMP
k141_4505854_13,0.44,non-AMP
k141_4505896_1,0.06,non-AMP
k141_4505896_2,0.42,non-AMP
k141_4505896_3,0.66,non-AMP
k141_4505896_4,0.54,non-AMP
k141_4505896_5,0.47,non-AMP
k141_4505896_6,0.45,non-AMP
k141_5472693_1,0.21,non-AMP
k141_5472693_2,0.59,non-AMP
k141_5472693_3,0.46,non-AMP
k141_5472693_4,0.66,non-AMP
k141_5472693_5,0.45,non-AMP
k141_5472693_6,0.51,non-AMP
k141_5472693_7,0.69,non-AMP
k141_5472693_8,0.53,non-AMP
k141_5472693_9,0.56,non-AMP
k141_5472693_10,0.53,non-AMP
k141_5472693_11,0.67,non-AMP
k141_5472693_12,0.36,non-AMP
k141_5472693_13,0.09,non-AMP
k141_5472693_14,0.55,non-AMP
k141_5472693_15,0.4,non-AMP
k141_5472693_16,0.04,non-AMP
k141_5472693_17,0.51,non-AMP
k141_5472693_18,0.53,non-AMP
k141_5472693_19,0.16,non-AMP
k141_5472693_20,0.63,non-AMP
k141_5472693_21,0.76,AMP
k141_4165524_1,0.41,non-AMP
k141_4165524_2,0.79,AMP
k141_4165524_3,0.52,non-AMP
k141_4165524_4,0.67,non-AMP
k141_4165524_5,0.25,non-AMP
k141_4165524_6,0.81,AMP
k141_4165524_7,0.46,non-AMP
k141_4165524_8,0.45,non-AMP
k141_1266368_1,0.41,non-AMP
k141_1266368_2,0.7,non-AMP
k141_1266368_3,0.63,non-AMP
k141_1266368_4,0.4,non-AMP
k141_5928115_1,0.57,non-AMP
k141_5928115_2,0.69,non-AMP
k141_5928115_3,0.42,non-AMP
k141_5928115_4,0.42,non-AMP
k141_5928115_5,0.01,non-AMP
k141_5928115_6,0.24,non-AMP
k141_5928115_7,0.05,non-AMP
k141_5928115_8,0.65,non-AMP
k141_5928115_9,0.39,non-AMP
k141_5928115_10,0.43,non-AMP
k141_5928115_11,0.21,non-AMP
k141_5928115_12,0.72,non-AMP
k141_5928115_13,0.42,non-AMP
k141_5928115_14,0.04,non-AMP
k141_5928115_15,0.44,non-AMP
k141_5928115_16,0.14,non-AMP
k141_5928115_17,0.45,non-AMP
k141_6553025_1,0.35,non-AMP
k141_6553025_2,0.4,non-AMP
k141_6553025_3,0.57,non-AMP
k141_6553025_4,0.65,non-AMP
k141_6553025_5,0.29,non-AMP
k141_6553025_6,0.63,non-AMP
k141_185794_1,0.16,non-AMP
k141_185794_2,0.31,non-AMP
k141_185794_3,0.59,non-AMP
k141_185794_4,0.6,non-AMP
k141_185794_5,0.26,non-AMP
k141_185794_6,0.27,non-AMP
k141_185794_7,0.21,non-AMP
k141_185794_8,0.09,non-AMP
k141_185794_9,0.64,non-AMP
k141_185794_10,0.08,non-AMP
k141_185794_11,0.69,non-AMP
k141_185794_12,0.66,non-AMP
k141_185794_13,0.72,non-AMP
k141_185794_14,0.5,non-AMP
k141_185794_15,0.6,non-AMP
k141_185794_16,0.66,non-AMP
